currentDate,npcIndex,firstName,lastName,dob,age,gender,livingStatus,pregant,background,employer,gold,income,base_expense,saveRate,base_spend,luxury_spend
0,1,person,a-1 ,-25200,70.00,0,Healthy,0,poor,,8.00,2.37,2.10,0.2,,
0,2,person,a-2,-22680,63.00,0,Healthy,0,poor,,32.00,10.92,2.10,0.2,,
0,3,person,a-3,-7560,21.00,1,Healthy,0,poor,,40.00,4.84,2.10,0.2,,
0,4,person,a-4,-30600,85.00,1,Healthy,0,poor,,67.00,7.01,2.10,0.2,,
0,5,person,a-5,-19440,54.00,0,Healthy,0,poor,,25.00,10.02,2.10,0.2,,
0,6,person,a-6,-7200,20.00,0,Healthy,0,poor,,39.00,6.09,2.10,0.2,,
0,7,person,a-7,-27360,76.00,1,Healthy,0,poor,,67.00,5.61,2.10,0.2,,
0,8,person,a-8,-21600,60.00,0,Healthy,0,poor,,45.00,7.04,2.10,0.2,,
0,9,person,a-9,-14760,41.00,1,Healthy,0,poor,,59.00,2.34,2.10,0.2,,
0,10,person,a-10,-16560,46.00,0,Healthy,0,poor,,28.00,6.35,2.10,0.2,,
0,11,person,a-11,-12240,34.00,0,Healthy,0,poor,,32.00,3.39,2.10,0.2,,
0,12,person,a-12,-23400,65.00,1,Healthy,0,poor,,70.00,2.62,2.10,0.2,,
0,13,person,a-13,-10800,30.00,0,Healthy,0,poor,,28.00,10.87,2.10,0.2,,
0,14,person,a-14,-14400,40.00,0,Healthy,0,poor,,1.00,8.45,2.10,0.2,,
0,15,person,a-15,-1800,5.00,1,Healthy,0,poor,,44.00,2.72,2.10,0.2,,
0,16,person,a-16,-3240,9.00,0,Healthy,0,poor,,95.00,8.70,2.10,0.2,,
0,17,person,a-17,-9720,27.00,0,Healthy,0,poor,,73.00,4.32,2.10,0.2,,
0,18,person,a-18,-1440,4.00,0,Healthy,0,poor,,21.00,3.02,2.10,0.2,,
0,19,person,a-19,-9360,26.00,0,Healthy,0,poor,,5.00,7.56,2.10,0.2,,
0,20,person,a-20,-22680,63.00,1,Healthy,0,poor,,75.00,8.40,2.10,0.2,,
0,21,person,a-21,-1080,3.00,0,Healthy,0,poor,,75.00,2.20,2.10,0.2,,
0,22,person,a-22,-29520,82.00,0,Healthy,0,poor,,92.00,3.72,2.10,0.2,,
0,23,person,a-23,-19440,54.00,0,Healthy,0,poor,,69.00,4.62,2.10,0.2,,
0,24,person,a-24,-33480,93.00,0,Healthy,0,poor,,11.00,5.32,2.10,0.2,,
0,25,person,a-25,-25560,71.00,1,Healthy,0,poor,,7.00,5.17,2.10,0.2,,
0,26,person,a-26,-9360,26.00,0,Healthy,0,poor,,4.00,11.47,2.10,0.2,,
0,27,person,a-27,-34200,95.00,0,Healthy,0,poor,,17.00,3.18,2.10,0.2,,
0,28,person,a-28,-21960,61.00,0,Healthy,0,poor,,98.00,9.43,2.10,0.2,,
0,29,person,a-29,-34560,96.00,1,Healthy,0,poor,,64.00,5.41,2.10,0.2,,
0,30,person,a-30,-7920,22.00,0,Healthy,0,poor,,25.00,6.86,2.10,0.2,,
0,31,person,a-31,-23040,64.00,0,Healthy,0,poor,,47.00,5.91,2.10,0.2,,
0,32,person,a-32,-14400,40.00,0,Healthy,0,poor,,100.00,3.11,2.10,0.2,,
0,33,person,a-33,0,0.00,1,Healthy,0,poor,,44.00,10.20,2.10,0.2,,
0,34,person,a-34,-28080,78.00,1,Healthy,0,poor,,23.00,7.52,2.10,0.2,,
0,35,person,a-35,-14040,39.00,1,Healthy,0,poor,,58.00,5.10,2.10,0.2,,
0,36,person,a-36,-12600,35.00,1,Healthy,0,poor,,36.00,8.76,2.10,0.2,,
0,37,person,a-37,-23760,66.00,0,Healthy,0,poor,,36.00,6.88,2.10,0.2,,
0,38,person,a-38,-17280,48.00,0,Healthy,0,poor,,19.00,5.83,2.10,0.2,,
0,39,person,a-39,-4320,12.00,1,Healthy,0,poor,,96.00,5.16,2.10,0.2,,
0,40,person,a-40,-23760,66.00,0,Healthy,0,poor,,53.00,5.98,2.10,0.2,,
0,41,person,a-41,0,0.00,1,Healthy,0,poor,,64.00,6.19,2.10,0.2,,
0,42,person,a-42,-30600,85.00,1,Healthy,0,poor,,35.00,5.48,2.10,0.2,,
0,43,person,a-43,-3240,9.00,1,Healthy,0,poor,,52.00,2.93,2.10,0.2,,
0,44,person,a-44,-30240,84.00,0,Healthy,0,poor,,47.00,10.76,2.10,0.2,,
0,45,person,a-45,-29160,81.00,1,Healthy,0,poor,,7.00,6.95,2.10,0.2,,
0,46,person,a-46,-20160,56.00,0,Healthy,0,poor,,20.00,11.43,2.10,0.2,,
0,47,person,a-47,-27360,76.00,0,Healthy,0,poor,,32.00,11.57,2.10,0.2,,
0,48,person,a-48,0,0.00,0,Healthy,0,poor,,21.00,5.31,2.10,0.2,,
0,49,person,a-49,-17640,49.00,0,Healthy,0,poor,,42.00,5.44,2.10,0.2,,
0,50,person,a-50,-28080,78.00,1,Healthy,0,rich,,27.00,9.29,2.10,0.2,,
0,51,person,a-51,-16920,47.00,0,Healthy,0,rich,,26.00,2.28,2.10,0.2,,
